ETRN,DNI,DHI,Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Dry-Bulb,Dew-Point,Relative Humidity {%},wspd
0,0,0,999900,999900,3.5,1.3,85,2.1
0,0,0,999900,999900,3.3,1.1,85,2.1
0,0,0,999900,999900,2.9,0.9,87,1.4
0,0,0,999900,999900,2.6,0.8,88,0.7
0,0,0,999900,999900,2.2,0.6,89,0
0,0,0,999900,999900,1.3,0,91,0.5
0,0,0,999900,999900,0.3,-0.4,95,1
0,0,47,999900,999900,-0.6,-1.1,96,1.5
613,323,192,999900,999900,2.7,-0.6,78,1
778,604,229,999900,999900,6.1,-0.3,63,0.5
908,699,229,999900,999900,9.4,0,52,0
999,744,195,999900,999900,11.3,0.2,46,0.7
1047,740,156,999900,999900,13.1,0.4,42,1.4
1050,684,117,999900,999900,15,0.6,37,2.1
1007,600,74,999900,999900,15.4,0.2,35,2.4
922,349,76,999900,999900,15.7,-0.1,34,2.8
796,57,41,999900,999900,16.1,-0.6,32,3.1
635,0,0,999900,999900,14.1,0.2,39,2.8
0,0,0,999900,999900,12,0.9,47,2.4
0,0,0,999900,999900,10,1.7,56,2.1
0,0,0,999900,999900,8.9,1.7,61,1.4
0,0,0,999900,999900,7.8,1.7,65,0.7
0,0,0,999900,999900,6.7,1.7,70,0
0,0,0,999900,999900,5.6,1.3,74,0.9
0,0,0,999900,999900,4.4,1,79,1.7
0,0,0,999900,999900,3.3,0.6,82,2.6
0,0,0,999900,999900,2.6,0.2,84,2.4
0,0,0,999900,999900,1.8,-0.1,87,2.3
0,0,0,999900,999900,1.1,-0.6,88,2.1
0,0,0,999900,999900,1.1,-0.7,87,1.4
0,0,0,999900,999900,1.1,-0.8,86,0.7
0,0,48,999900,999900,1.1,-1.1,84,0
612,445,168,999900,999900,6.3,-1.2,58,2.4
778,585,177,999900,999900,11.5,-1.4,40,4.8
909,554,171,999900,999900,16.7,-1.7,28,7.2
1000,609,136,999900,999900,17.2,-1.2,28,6.7
1048,620,99,999900,999900,17.8,-0.9,28,6.2
1051,572,73,999900,999900,18.3,-0.6,28,5.7
1009,427,79,999900,999900,17.8,0.2,30,5
924,189,93,999900,999900,17.2,0.9,33,4.3
798,95,18,999900,999900,16.7,1.7,36,3.6
637,0,0,999900,999900,15.2,2.1,41,3.6
0,0,0,999900,999900,13.7,2.4,46,3.6
0,0,0,999900,999900,12.2,2.8,53,3.6
0,0,0,999900,999900,11.7,2.8,54,3.4
0,0,0,999900,999900,11.1,2.8,57,3.3
0,0,0,999900,999900,10.6,2.8,58,3.1
0,0,0,999900,999900,9.8,2.8,62,2.9
0,0,0,999900,999900,9.1,2.8,65,2.8
0,0,0,999900,999900,8.3,2.8,68,2.6
0,0,0,999900,999900,8.3,2.8,68,2.6
0,0,0,999900,999900,8.3,2.8,68,2.6
0,0,0,999900,999900,8.3,2.8,68,2.6
0,0,0,999900,999900,7.6,2.6,71,2.2
0,0,0,999900,999900,6.8,2.4,73,1.9
0,0,49,999900,999900,6.1,2.2,76,1.5
612,546,179,999900,999900,8.5,2,64,2.9
778,812,181,999900,999900,10.9,1.9,54,4.3
909,882,160,999900,999900,13.3,1.7,45,5.7
1001,920,115,999900,999900,14.1,1.7,43,5
1049,928,64,999900,999900,14.8,1.7,41,4.3
1053,888,16,999900,999900,15.6,1.7,39,3.6
1011,807,0,999900,999900,15.8,2.1,40,2.9
926,525,0,999900,999900,15.9,2.4,40,2.2
801,176,7,999900,999900,16.1,2.8,41,1.5
640,0,0,999900,999900,14.4,3.2,47,1
0,0,0,999900,999900,12.8,3.5,53,0.5
0,0,0,999900,999900,11.1,3.9,61,0
0,0,0,999900,999900,10.2,4.3,67,0.7
0,0,0,999900,999900,9.2,4.6,73,1.4
0,0,0,999900,999900,8.3,5,80,2.1
0,0,0,999900,999900,8.3,4.8,79,2.3
0,0,0,999900,999900,8.3,4.6,77,2.4
0,0,0,999900,999900,8.3,4.4,76,2.6
0,0,0,999900,999900,7.6,4,78,2.4
0,0,0,999900,999900,6.8,3.7,81,2.3
0,0,0,999900,999900,6.1,3.3,82,2.1
0,0,0,999900,999900,6.3,3.3,81,1.4
0,0,0,999900,999900,6.5,3.3,80,0.7
